nombre_imagen,nombre_avenida,calzada,tramo_id,pci_clase
qkp2RLcXw9ytWOu42Z9D1w_adelante.jpg,Bertello,Ida,UM-01,Fair
obdj_eOue3Xl0OG9dbwpng_adelante.jpg,Bertello,Ida,UM-01,Fair
XBAB7YInlBZS9f2PGod6qg_adelante.jpg,Bertello,Ida,UM-01,Fair
Wf_WkpJXYXw_ShI8U9PrsA_adelante.jpg,Bertello,Ida,UM-02,Fair
Wf_WkpJXYXw_ShI8U9PrsA_atras.jpg,Bertello,Ida,UM-02,Very Poor
7km3e2S9bGeD7GQZKbnimg_adelante.jpg,Bertello,Ida,UM-02,Poor
7km3e2S9bGeD7GQZKbnimg_atras.jpg,Bertello,Ida,UM-02,Poor
7U4yFy-oy2-zETmz1bpgHQ_adelante.jpg,Bertello,Ida,UM-03,Poor
7U4yFy-oy2-zETmz1bpgHQ_atras.jpg,Bertello,Ida,UM-03,Poor
fn2MODioULYr1RjA9V0RPg_adelante.jpg,Bertello,Ida,UM-03,Poor
fn2MODioULYr1RjA9V0RPg_atras.jpg,Bertello,Ida,UM-03,Poor
L-p5rUWd0n_UJUNZWpI8VA_adelante.jpg,Bertello,Ida,UM-03,Poor
ayNwg5mrh51YAgoLOegdhg_adelante.jpg,Bertello,Ida,UM-04,Fair
ayNwg5mrh51YAgoLOegdhg_atras.jpg,Bertello,Ida,UM-04,Very Poor
6ybYgzYDSafXRKmDhfyeng_adelante.jpg,Bertello,Ida,UM-04,Poor
6ybYgzYDSafXRKmDhfyeng_atras.jpg,Bertello,Ida,UM-04,Poor
5kuormKpbex2aW2_qumnvg_adelante.jpg,Bertello,Ida,UM-04,Fair
5kuormKpbex2aW2_qumnvg_atras.jpg,Bertello,Ida,UM-04,Fair
NqlNSTKhBdPPqxXSUlsoAg_adelante.jpg,Bertello,Ida,UM-05,Poor
NqlNSTKhBdPPqxXSUlsoAg_atras.jpg,Bertello,Ida,UM-05,Poor
QtgMXoPwStK2GcXjh8tezg_adelante.jpg,Bertello,Ida,UM-05,Very Poor
QtgMXoPwStK2GcXjh8tezg_atras.jpg,Bertello,Ida,UM-05,Poor
K-puvo-R4N-8dEsTWihNSg_adelante.jpg,Bertello,Ida,UM-05,Very Poor
K-puvo-R4N-8dEsTWihNSg_atras.jpg,Bertello,Ida,UM-05,Very Poor
6uVhAZvcJ_FGU8rOY8xMtQ_adelante.jpg,Bertello,Ida,UM-06,Very Poor
6uVhAZvcJ_FGU8rOY8xMtQ_atras.jpg,Bertello,Ida,UM-06,Very Poor
lz7RHO0WDrDzOVwcCbv_Kg_adelante.jpg,Bertello,Ida,UM-06,Poor
lz7RHO0WDrDzOVwcCbv_Kg_atras.jpg,Bertello,Ida,UM-06,Very Poor
2-ZkGqfsUhi5wUo6EYtlaA_adelante.jpg,Bertello,Ida,UM-07,Fair
2-ZkGqfsUhi5wUo6EYtlaA_atras.jpg,Bertello,Ida,UM-07,Poor
dwkQhNYF9MsFp2I0CjKGZg_adelante.jpg,Bertello,Ida,UM-07,Poor
dwkQhNYF9MsFp2I0CjKGZg_atras.jpg,Bertello,Ida,UM-07,Poor
YAt-lEg4hi56me9kxSGn3Q_adelante.jpg,Bertello,Ida,UM-08,Poor
YAt-lEg4hi56me9kxSGn3Q_atras.jpg,Bertello,Ida,UM-08,Poor
oQmi6o5XE-reDczfzc7aKA_adelante.jpg,Bertello,Ida,UM-08,Poor
oQmi6o5XE-reDczfzc7aKA_atras.jpg,Bertello,Ida,UM-08,Poor
pBtKtpbpXRReIL311NgK0Q_adelante.jpg,Bertello,Ida,UM-08,Poor
pBtKtpbpXRReIL311NgK0Q_atras.jpg,Bertello,Ida,UM-08,Poor
uf_vEaCQWDVzkZl8WyK47w_adelante.jpg,Bertello,Ida,UM-09,Poor
uf_vEaCQWDVzkZl8WyK47w_atras.jpg,Bertello,Ida,UM-09,Poor
HrCD3bwQnkgZXHF0S9pDVg_adelante.jpg,Bertello,Ida,UM-09,Fair
HrCD3bwQnkgZXHF0S9pDVg_atras.jpg,Bertello,Ida,UM-09,Poor
73M5xUOiLNVN3bkiG2hlnA_adelante.jpg,Bertello,Ida,UM-09,Fair
